,SeriousDlqin2yrs,RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents
13489,1,0.888983537,61,1,0.771398611,7628.0,15,0,3,0,0.0
13531,1,1.086529722,36,2,0.277455188,3960.0,7,3,0,1,2.0
13532,1,0.92062027,44,1,0.532435508,5271.0,9,0,1,0,2.0
13536,1,0.9999999,49,0,0.241928447,4583.0,2,2,1,2,0.0
13554,1,1.001998002,27,0,0.15315604,3120.0,4,0,0,0,0.0
13559,1,0.836027329,54,0,0.339688445,4300.0,5,3,1,1,0.0
13566,1,0.965129359,43,2,0.634815193,5870.0,8,0,1,0,4.0
13575,1,0.929628918,41,1,1.116400857,4200.0,9,4,1,1,3.0
13591,1,0.9999999,42,0,0.027506964,2871.0,1,2,0,0,1.0
13596,1,0.9999999,52,0,0.385218932,3950.0,1,0,1,0,3.0
13610,1,0.0,63,0,3785.0,6670.22123739,10,1,4,0,0.757222267861
13614,1,0.686054295,45,4,1.929207921,2019.0,15,1,2,1,0.0
13623,1,0.949620152,50,0,0.391316767,3500.0,6,0,0,0,1.0
13624,1,0.46525312,49,1,0.594604792,5300.0,10,1,1,0,3.0
13632,1,1.016997167,37,2,0.126845992,7583.0,5,2,1,2,3.0
13657,1,1.136439268,47,1,0.084775087,6935.0,4,0,1,0,1.0
13672,1,0.9999999,49,0,48.0,6670.22123739,0,0,0,0,0.0
13678,1,0.9999999,57,1,0.903609639,10000.0,5,0,2,2,0.0
13681,1,0.418623088,48,0,0.368463154,10000.0,14,0,1,0,1.0
13690,1,0.985657748,57,0,0.971565731,5415.0,15,0,1,0,0.0
13708,1,0.462307492,52,0,0.564959646,14000.0,14,0,3,0,1.0
13720,1,0.0,49,4,0.386366527,7862.0,7,0,1,0,2.0
13734,1,0.916167665,28,1,0.094839078,5250.0,4,0,0,0,0.0
13740,1,0.992015968,39,0,0.392575928,5333.0,5,0,2,0,0.0
13756,1,0.274699204,50,2,0.12637028,3283.0,7,1,0,0,0.0
13757,1,0.35558492,40,0,0.309659785,45000.0,23,0,5,0,1.0
13765,1,0.386377607,39,0,1.289177706,4000.0,13,0,2,0,2.0
13769,1,0.913448735,51,4,0.132110303,8666.0,3,1,0,0,1.0
13771,1,1.002628056,52,0,0.805892548,7500.0,16,0,1,1,0.0
13778,1,0.9999999,38,0,0.0,1000.0,0,0,0,0,1.0
13810,1,1.018497688,61,2,0.354112694,6175.0,5,3,1,0,0.0
13849,1,0.922072556,41,4,0.400343643,5819.0,12,1,2,0,3.0
13881,1,0.497505969,33,0,0.23701221,4176.0,16,0,0,0,0.0
13902,1,0.937993029,42,2,0.603777078,5400.0,9,0,1,0,2.0
13914,1,0.202411846,36,1,1.169201878,5324.0,19,0,2,0,1.0
13921,1,0.108741684,62,0,0.060386791,7600.0,12,0,0,0,0.0
13928,1,0.033427616,36,0,0.564356436,3938.0,11,0,1,0,0.0
13937,1,1.03379662,60,1,2.646128226,1200.0,5,1,3,2,2.0
13961,1,0.9999999,42,1,914.0,6670.22123739,1,2,1,0,0.0
13966,1,0.970469673,37,0,0.215626562,22000.0,10,0,3,0,2.0
13992,1,1.143237841,40,1,0.310949788,4958.0,7,0,1,0,1.0
14032,1,0.978120593,51,2,1.068515063,3750.0,11,0,2,1,0.0
14099,1,0.9999999,28,0,104.0,6670.22123739,2,1,0,0,0.0
14107,1,0.093460415,59,1,0.396800711,4500.0,12,0,1,0,0.0
14131,1,0.002450003,40,3,0.36506159,6250.0,16,1,2,1,0.0
14170,1,0.98349435,38,0,0.975806452,2975.0,9,0,1,0,0.0
14175,1,0.805721002,31,0,0.95328,3124.0,9,0,1,0,0.0
14179,1,0.128191394,58,1,0.389553178,4766.0,7,1,2,1,1.0
14202,1,1.07846077,49,0,352.0,6670.22123739,2,3,0,0,0.0
14223,1,0.501705472,43,0,0.545671596,12983.0,16,0,5,0,3.0
14240,1,0.21954562,55,0,1.9093506,5250.0,18,0,6,0,0.0
14242,1,1.030804131,43,0,0.96955561,4072.0,11,0,3,0,0.0
14261,1,1.023995201,29,0,0.225861095,1770.0,2,0,0,0,1.0
14272,1,0.108876976,26,0,1.923920052,1550.0,15,0,1,0,0.0
14297,1,1.051028617,61,3,0.410196601,3000.0,4,0,0,0,1.0
14303,1,0.311880534,35,2,0.726420987,1600.0,11,2,0,1,2.0
14330,1,0.664335664,43,0,342.0,6670.22123739,2,1,0,0,0.0
14391,1,0.9999999,42,2,679.0,6670.22123739,1,0,0,0,1.0
14413,1,0.157241055,43,0,0.417263789,6000.0,20,0,1,0,0.0
14449,1,0.9999999,31,0,189.0,6670.22123739,1,1,0,0,0.0
14462,1,1.194825559,59,0,0.409217102,1800.0,3,3,1,3,0.0
14464,1,0.9999999,23,0,0.0,2870.0,0,0,0,0,0.0
14478,1,0.302935665,24,1,1374.0,6670.22123739,5,0,1,1,0.0
14512,1,0.388914682,55,1,0.563907871,3950.0,7,0,1,0,0.0
14536,1,0.88270391,60,0,0.417732986,8830.0,5,0,1,0,0.0
14571,1,0.906450201,67,1,0.53982808,3489.0,10,0,1,0,0.0
14579,1,0.399370769,64,0,0.883748517,5900.0,22,0,2,0,1.0
14594,1,0.752056404,38,1,0.023323615,2400.0,4,0,0,0,2.0
14606,1,0.541352643,63,1,4206.0,6670.22123739,7,0,1,1,0.0
14618,1,0.822340792,53,0,0.498011809,8298.0,15,1,2,0,0.0
14638,1,1.247375628,35,2,0.793259208,2877.0,5,1,2,2,0.0
14646,1,0.9999999,28,2,0.270331667,2200.0,7,1,0,0,0.0
14688,1,0.79122319,47,1,0.085950639,22000.0,13,0,1,0,3.0
14690,1,0.200940071,56,2,0.113734835,4615.0,4,0,0,0,0.0
14710,1,0.928791475,45,0,0.138312415,8046.0,7,0,0,0,2.0
14719,1,0.875303528,35,1,0.426428679,6666.0,11,0,1,0,2.0
14751,1,0.9999999,23,98,0.0,6670.22123739,0,98,0,98,0.0
14766,1,0.377637497,31,1,1.378232387,8700.0,13,0,6,4,2.0
14774,1,0.117926415,52,0,0.248416843,9000.0,14,0,2,0,3.0
14792,1,0.246941495,50,0,0.059129391,15000.0,11,0,0,1,0.0
14794,1,1.041636,60,1,0.104137283,4253.0,7,1,0,0,0.0
14803,1,0.648533964,54,0,0.402726683,4620.0,9,0,1,0,2.0
14835,1,0.451385582,48,0,660.0,6670.22123739,4,0,0,0,0.0
14850,1,0.874022007,33,0,0.269940013,4500.0,6,0,0,0,3.0
14860,1,0.814226925,45,2,0.251772405,5500.0,4,3,0,3,3.0
14862,1,0.9999999,56,98,0.0,6670.22123739,0,98,0,98,0.0
14867,1,0.916062299,32,6,0.919080919,1000.0,14,0,0,1,0.0
14870,1,0.446650479,47,0,0.395894428,3750.0,4,1,1,2,1.0
14872,1,0.263988132,56,0,1.382923415,5000.0,13,0,4,0,0.0
14882,1,0.521339361,57,1,0.672661871,1389.0,7,1,0,0,0.0
14912,1,1.401197605,39,1,0.103507481,4076.0,5,1,0,0,2.0
14918,1,0.69030969,25,1,0.270758123,3600.0,6,0,0,2,1.0
14922,1,0.842078961,55,0,1394.0,6670.22123739,4,0,0,1,0.0
14930,1,1.00159968,42,1,0.083563748,3254.0,3,1,0,0,4.0
14973,1,0.9999999,29,0,0.259067358,5210.0,3,3,0,2,1.0
15027,1,0.397262427,42,0,0.39507453,7714.0,14,0,1,0,4.0
15047,1,0.925558885,44,1,0.356857523,750.0,4,0,0,0,0.0
15093,1,0.9999999,41,0,0.233277791,4200.0,2,3,1,1,2.0
15120,1,0.234538853,53,0,1513.0,6670.22123739,10,0,1,0,1.0
15129,1,0.915314538,44,0,0.350547731,3833.0,20,0,0,0,0.0
15179,1,0.9999999,30,0,0.15367038,3500.0,1,2,0,1,0.0
15207,1,0.975756061,35,1,0.136070853,2483.0,7,0,0,1,0.0
15221,1,1.101802757,48,3,0.926512031,4612.0,12,5,5,2,3.0
15266,1,0.256522799,31,1,0.275976977,3300.0,4,0,0,2,2.0
15270,1,0.957320557,43,0,4763.0,6670.22123739,11,0,2,0,0.0
15272,1,0.002567394,59,2,0.000768935,2600.0,5,1,0,0,0.0
15274,1,0.779295208,51,2,0.188103781,7245.0,7,1,0,1,3.0
15371,1,0.055560386,43,2,0.495834722,3000.0,4,0,1,0,1.0
15380,1,0.017265516,50,0,990.0,6670.22123739,7,1,1,1,0.0
15387,1,0.427512008,54,2,0.715883669,4916.0,12,0,1,0,0.0
15407,1,0.695381898,61,3,0.656663907,4831.0,17,0,2,2,0.0
15417,1,1.003123048,38,0,0.284777452,7166.0,6,1,1,0,0.0
15425,1,0.9999999,32,1,0.446166621,7225.0,6,0,0,0,1.0
15432,1,0.03606245,70,0,0.788105947,2000.0,18,1,1,0,0.0
15437,1,0.945928825,38,0,0.700085958,12796.0,9,0,3,0,2.0
15442,1,1.353414697,49,0,471.0,6670.22123739,9,5,0,3,0.757222267861
15470,1,0.425085262,49,1,3350.0,6670.22123739,12,0,2,0,1.0
15497,1,0.936680738,41,0,496.0,6670.22123739,4,0,0,2,3.0
15505,1,0.020147402,59,3,1.636170857,3300.0,17,1,6,1,0.0
15519,1,0.221402542,34,0,0.32037325,4500.0,12,0,1,0,0.0
15538,1,0.568757586,49,0,0.64990248,21533.0,18,0,7,0,0.0
15568,1,2.787375415,35,1,85.0,6670.22123739,2,0,0,0,0.0
15577,1,0.964467005,49,0,0.315124724,6333.0,3,0,2,1,2.0
15589,1,0.119924825,45,0,0.612903226,3068.0,11,0,2,0,3.0
15622,1,0.992015968,50,1,0.190188411,2812.0,8,0,0,0,1.0
15627,1,0.876641535,59,0,0.400036921,5416.0,14,0,0,0,0.0
15646,1,0.9999999,26,0,0.265631223,2510.0,3,0,0,0,2.0
15649,1,0.9999999,48,1,0.173971498,3718.0,1,1,0,1,2.0
15656,1,0.982407037,31,3,0.735933983,2665.0,11,4,1,0,0.0
15658,1,0.690727374,25,0,0.458823529,764.0,2,0,0,1,0.0
15681,1,0.9999999,59,0,0.453566622,5200.0,2,1,1,0,0.0
15691,1,1.099800399,40,1,0.00439912,5000.0,3,2,0,0,0.0
15697,1,0.7012613,53,1,8464.0,6670.22123739,15,0,5,0,0.0
15709,1,0.6922012,47,1,1698.0,6670.22123739,3,1,1,1,3.0
15725,1,1.067332983,45,2,0.108625162,6167.0,4,1,0,1,2.0
15731,1,0.938993391,56,1,0.246286896,5318.0,6,0,1,0,3.0
15746,1,0.936668937,54,1,0.46865752,3716.0,12,0,1,0,0.0
15759,1,1.446327684,45,1,0.423547664,5800.0,12,2,2,2,0.0
15765,1,0.0,33,1,0.130345031,3390.0,2,0,0,1,0.0
15766,1,0.9999999,46,0,0.632728619,2700.0,3,1,1,1,0.0
15785,1,0.825587206,45,4,0.089334549,2193.0,6,1,0,0,2.0
15838,1,0.999949847,33,6,0.259772005,45000.0,10,5,2,1,0.0
15850,1,1.23255814,30,0,0.020902757,3300.0,1,0,0,0,2.0
15864,1,0.087891921,59,1,0.223786902,5893.0,9,1,1,1,1.0
15867,1,0.9999999,36,0,0.0,6670.22123739,0,0,0,0,0.0
15881,1,0.930667359,35,1,706.0,6670.22123739,7,2,0,1,0.0
15883,1,0.836383837,37,1,0.486338798,8600.0,6,0,2,0,1.0
15886,1,0.9999999,24,0,0.023322228,2100.0,1,1,0,0,0.0
15896,1,1.015936255,31,0,0.016351119,2323.0,4,0,0,0,3.0
15897,1,0.9999999,50,0,0.0,6670.22123739,0,0,0,0,0.0
15910,1,0.9999999,37,0,0.193650529,12000.0,1,3,0,1,2.0
15912,1,1.018159806,58,0,0.186887137,5200.0,9,1,0,0,0.0
15916,1,0.163985021,34,2,1940.0,6670.22123739,9,0,2,0,0.0
15927,1,0.904419116,42,0,0.145175439,2279.0,3,0,0,0,3.0
15944,1,0.498410055,41,0,0.51867788,5112.0,9,0,2,0,3.0
15954,1,0.967110493,46,1,0.444327177,3789.0,7,2,1,1,1.0
15972,1,0.989802422,39,0,1.122047923,5800.0,11,0,2,0,3.0
16001,1,0.828398431,54,0,1096.0,6670.22123739,5,0,0,0,1.0
16002,1,0.748654881,30,2,0.17694102,3000.0,6,3,0,0,0.0
16034,1,1.314307141,37,0,0.496190858,4987.0,9,0,1,0,1.0
16049,1,0.96420358,33,0,0.243972117,8750.0,12,0,0,0,5.0
16060,1,0.776743229,50,0,0.795702874,10890.0,17,0,4,0,0.0
16062,1,1.022996167,36,0,0.359238955,3100.0,4,0,1,2,1.0
16084,1,0.007246721,74,0,1.591754651,1988.0,9,0,2,0,0.0
16097,1,0.070384351,56,1,0.879529638,4166.0,19,0,2,1,2.0
16113,1,1.221889055,44,0,0.691012418,4750.0,7,1,3,1,0.0
16117,1,0.849270665,62,1,0.056441327,3135.0,9,2,0,1,0.0
16144,1,0.774416406,57,2,0.509573542,4595.0,5,1,1,1,1.0
16172,1,0.801410106,49,1,0.071451154,3162.0,1,4,0,1,0.0
16227,1,0.9999999,27,2,0.275329396,2200.0,3,0,0,1,0.0
16230,1,0.0,36,5,0.573654226,8600.0,5,5,3,1,0.0
16248,1,0.152292821,60,6,0.682263547,5000.0,23,0,2,0,0.0
16249,1,0.427814713,52,0,0.26114777,5000.0,10,1,2,0,0.0
16251,1,1.043247122,46,0,0.617309165,3916.0,8,0,1,0,2.0
16256,1,0.658913317,54,2,1.196497794,7480.0,15,0,4,0,2.0
16269,1,0.9999999,47,0,424.0,6670.22123739,1,2,0,1,0.0
16286,1,0.9999999,39,5,1.430356737,4400.0,9,0,5,0,0.0
16332,1,0.834837325,50,3,2.3988006,2000.0,7,0,1,0,1.0
16349,1,0.144848609,40,0,2.688124306,900.0,22,0,2,0,3.0
16353,1,0.678235034,41,6,0.506274997,7250.0,11,0,2,0,3.0
16373,1,0.9999999,23,0,111.0,6670.22123739,1,2,0,1,0.0
16392,1,0.017319231,50,0,0.771871355,6000.0,14,0,4,0,1.0
16396,1,1.135326197,29,1,626.0,6670.22123739,6,0,0,0,0.0
16403,1,0.350671077,58,0,0.410527864,6800.0,9,0,5,0,0.0
16430,1,0.356022596,67,1,1.523252135,3160.0,9,0,3,0,0.0
16440,1,0.95465905,59,1,0.181014523,4750.0,21,0,0,0,0.0
16451,1,0.9999999,47,0,0.313665546,3270.0,4,2,1,1,2.0
16455,1,0.504875941,40,2,0.236601579,4813.0,13,0,1,0,1.0
16463,1,0.9999999,35,2,0.364640884,3800.0,9,0,0,0,0.0
16467,1,0.02279772,48,4,1.347150259,1350.0,11,0,2,0,0.0
16490,1,0.347059358,37,0,0.438760207,6000.0,9,0,1,0,3.0
16536,1,0.786584467,61,0,1.732325695,2050.0,12,0,3,0,0.0
16555,1,0.504523092,62,0,0.153018605,7900.0,4,0,0,0,0.0
16559,1,0.979486886,59,0,1.168943685,3000.0,9,0,2,0,1.0
16576,1,0.48930214,60,0,0.386519945,2907.0,9,0,1,0,0.0
16588,1,0.683186336,40,2,0.494437577,14561.0,4,3,1,0,0.0
16599,1,14.54091816,45,3,1.151864771,3726.0,11,0,2,7,3.0
16607,1,1.067104903,33,1,0.235031664,6947.0,9,0,0,4,2.0
16612,1,0.353858457,50,0,0.938530735,2000.0,5,0,1,0,1.0
16620,1,0.9999999,54,98,0.0,6670.22123739,0,98,0,98,0.0
16626,1,1.04745167,46,2,0.599870298,3083.0,6,3,0,0,0.0
16650,1,0.393032419,37,0,0.268284462,8900.0,9,0,1,0,3.0
16664,1,0.824705823,29,0,0.586914576,5700.0,14,0,1,0,2.0
16683,1,0.9999999,28,0,0.01489573,3020.0,1,0,0,0,2.0
16688,1,0.476315597,58,1,0.376745621,12960.0,16,1,2,0,1.0
16715,1,0.830522169,42,1,1.131103422,2600.0,8,0,1,0,2.0
16727,1,0.193303281,54,0,1.576430097,8425.0,8,0,5,0,2.0
16766,1,0.0,26,0,0.122944749,6750.0,8,0,0,0,0.0
16775,1,0.003797551,55,0,1.117660737,8600.0,27,0,7,0,0.0
16788,1,0.015726628,35,0,1.288050886,2200.0,8,0,3,0,0.0
16803,1,0.642071586,42,0,0.39314379,7350.0,5,1,2,0,1.0
16819,1,0.963780919,56,1,802.0,6670.22123739,9,0,0,0,0.0
16827,1,0.626933292,42,0,0.714066103,1300.0,12,0,1,0,2.0
16848,1,0.465295572,57,0,0.604120793,12715.0,18,0,5,0,1.0
16855,1,0.320639979,48,0,0.20305399,5500.0,5,1,0,0,2.0
16872,1,0.0,58,3,0.314509715,8800.0,11,0,2,1,1.0
16873,1,0.9999999,57,0,1044.0,6670.22123739,2,0,1,0,2.0
16882,1,0.888853805,62,1,0.3745109,5366.0,7,2,2,0,1.0
16889,1,0.807245438,56,0,0.292312996,2900.0,11,0,0,0,0.0
16903,1,0.916691912,35,0,0.23613963,2434.0,5,1,0,0,2.0
16905,1,0.211395151,50,3,0.191404298,2000.0,7,0,0,0,3.0
16919,1,0.073747856,40,1,0.127971562,4500.0,6,1,0,0,0.0
16930,1,1.059603852,49,4,1.208472156,2100.0,10,0,1,0,0.0
17006,1,0.673345907,62,0,0.595938375,9995.0,7,0,1,0,0.0
17008,1,0.042164324,36,2,0.394921016,5000.0,10,0,1,1,2.0
17023,1,0.005424154,46,0,0.014376997,625.0,5,0,0,0,1.0
17050,1,0.707533235,56,0,0.280726606,12000.0,6,0,1,0,3.0
17057,1,0.254685133,47,0,0.291454012,9208.0,7,0,2,0,0.0
17061,1,0.856154511,49,1,0.239800685,6421.0,19,0,0,0,1.0
17069,1,0.972342552,35,1,0.042860703,4012.0,4,0,0,2,1.0
17070,1,0.9999999,32,2,0.638593381,3383.0,5,0,2,0,1.0
17104,1,0.9999999,34,0,0.177764447,5000.0,2,0,0,0,4.0
17123,1,0.836081959,50,1,0.513249878,6150.0,7,4,2,1,1.0
17129,1,0.968274663,31,0,0.145906228,2857.0,2,0,0,0,0.0
17130,1,0.801388221,38,2,0.598042414,3064.0,9,0,0,0,3.0
17140,1,0.84717608,23,1,0.003997716,1750.0,1,0,0,0,0.0
17142,1,1.00909909,78,1,0.331839821,3570.0,6,2,0,1,0.0
17149,1,0.9999999,35,1,0.123831022,3100.0,1,3,0,1,2.0
17154,1,0.399057692,48,0,0.600465616,5583.0,11,0,2,0,3.0
17159,1,0.9999999,53,0,0.0,2900.0,2,1,0,0,0.0
17198,1,0.327707207,49,1,0.253484482,5380.0,13,0,0,0,2.0
17245,1,0.423358625,58,0,0.414729264,6666.0,9,0,2,0,0.0
17266,1,0.698980268,45,0,0.624159974,6100.0,20,0,3,0,3.0
17314,1,0.666720858,50,0,0.103035578,18381.0,10,0,1,1,1.0
17319,1,0.270755895,48,0,0.322512077,5174.0,10,0,1,0,1.0
17323,1,0.9999999,23,0,0.0,1760.0,0,1,0,0,0.0
17357,1,0.755122439,46,4,0.648972914,5500.0,7,4,1,1,0.0
17359,1,0.008366493,26,0,0.120399818,2200.0,9,0,0,0,0.0
17360,1,0.982017982,41,0,0.078975645,5583.0,3,1,0,0,3.0
17432,1,0.071720753,57,0,0.571656559,3132.0,5,0,1,0,1.0
17473,1,0.624175946,54,0,0.568947368,5699.0,10,0,4,0,0.0
17495,1,0.300917135,60,0,0.148305085,5427.0,11,0,0,0,1.0
17499,1,2.049833887,63,1,0.10607169,5467.0,2,2,0,0,0.0
17521,1,0.747607485,47,0,0.221205597,5573.0,2,2,0,0,2.0
17555,1,0.799475229,42,2,0.581883623,5000.0,10,0,1,0,0.0
17570,1,0.9999999,48,0,1.294539862,3900.0,9,0,2,0,2.0
17610,1,1.76247505,35,2,2323.0,6670.22123739,3,3,1,1,0.0
17627,1,0.0,50,2,0.083986817,8798.0,4,4,0,1,0.0
17639,1,0.143193178,24,3,0.222118088,3200.0,3,0,1,1,2.0
17642,1,0.865751233,54,0,0.3754363,4583.0,6,0,1,0,1.0
17677,1,1.005831713,45,1,0.070896201,5500.0,5,0,0,1,1.0
17682,1,0.954523464,55,0,0.151988309,13000.0,6,1,0,0,1.0
17691,1,0.01343975,50,1,0.16236091,10334.0,6,1,1,0,3.0
17725,1,0.0,47,1,1.813374806,4500.0,13,0,4,1,3.0
17738,1,1.016347978,58,1,0.134957826,3200.0,3,0,0,0,0.0
17743,1,0.458887314,47,4,0.579349209,5500.0,17,0,1,0,0.0
17755,1,0.9999999,23,0,0.301698302,1000.0,1,0,0,0,0.0
17768,1,0.9999999,70,6,0.606926098,2800.0,6,2,1,0,1.0
17776,1,1.095303394,43,4,0.468988955,4707.0,15,3,1,0,1.0
17816,1,0.059842192,34,0,0.95902049,2000.0,14,0,2,0,0.0
17822,1,0.167128745,48,0,2104.0,6670.22123739,9,0,1,0,0.0
17861,1,0.0,30,0,0.137106611,4098.0,4,3,0,1,1.0
17866,1,0.960239972,50,2,1128.0,6670.22123739,4,1,0,0,3.0
17867,1,0.120369489,37,0,0.005691432,6500.0,3,0,0,0,0.0
17891,1,1.239520958,23,0,0.021140295,1560.0,1,1,0,1,0.0
17897,1,0.9999999,46,1,0.768675368,3600.0,2,2,1,1,3.0
17899,1,1.041972019,50,2,1896.0,6670.22123739,6,0,0,0,0.0
17910,1,0.194392606,41,0,0.471550802,9349.0,9,0,3,0,1.0
17916,1,0.398271188,40,0,0.81915846,3350.0,10,0,2,0,2.0
17922,1,0.725233174,59,0,0.163297045,4500.0,9,0,0,0,0.0
17946,1,0.771544784,51,1,0.344646714,3240.0,6,0,0,0,0.0
17999,1,0.727677844,43,1,0.696327684,5663.0,13,0,1,0,0.0
18031,1,0.562773128,53,2,0.254517222,7083.0,5,1,0,1,0.0
18034,1,0.06782785,52,0,0.269722814,1875.0,5,0,2,0,0.0
18044,1,0.9999999,42,0,0.0,6670.22123739,0,0,0,0,2.0
18047,1,0.552468614,68,1,0.342754299,7500.0,13,0,1,0,0.0
18051,1,0.9999999,57,0,183.0,6670.22123739,1,2,0,1,3.0
18069,1,2.494657697,47,2,14.57801222,1800.0,10,0,0,0,0.0
18084,1,0.689747004,30,1,0.349544073,6250.0,8,1,2,1,0.0
18092,1,0.728895367,74,0,0.680479826,5501.0,15,0,3,0,0.0
18120,1,1.45117076,42,1,2449.0,6670.22123739,8,4,2,3,0.0
18123,1,1.405189621,22,1,0.013493253,2000.0,1,0,0,0,0.0
18153,1,0.952095808,30,1,0.089636788,3000.0,10,0,0,0,0.0
18154,1,1.281718282,47,3,395.0,6670.22123739,5,0,1,1,1.0
18192,1,0.9999999,32,0,1076.0,6670.22123739,3,0,1,0,1.0
18204,1,0.9999999,45,0,49.0,6670.22123739,0,0,0,0,0.0
18217,1,0.9999999,64,0,0.0,16000.0,0,0,0,0,0.0
18220,1,0.177802163,71,0,2.022939347,2571.0,18,0,5,0,0.0
18224,1,0.9999999,36,0,0.0,5500.0,0,0,0,0,2.0
18251,1,0.761560592,65,1,0.38150697,5666.0,6,1,1,0,0.0
18268,1,0.9999999,31,1,994.0,6670.22123739,2,0,1,0,0.0
18275,1,1.413173653,22,1,0.174377224,280.0,3,1,0,1,0.0
18290,1,1.255813953,26,0,0.209720628,2612.0,5,1,0,0,1.0
18317,1,0.0,29,0,0.325306679,2200.0,12,0,0,0,0.0
18318,1,1.157752738,32,0,0.796513831,7916.0,4,5,1,1,1.0
18325,1,0.003510061,49,0,0.000174171,11482.0,2,0,0,0,0.0
18362,1,0.9999999,53,0,0.495528669,1900.0,3,2,1,0,0.0
18370,1,0.9999999,77,0,0.006944444,2159.0,1,1,0,0,0.0
18379,1,0.0,44,0,54.0,6670.22123739,2,2,0,0,0.0
18398,1,0.433271602,51,0,0.271728194,12920.0,25,0,2,0,0.0
18403,1,0.98960208,48,0,0.510638298,1973.0,1,1,0,1,0.0
18405,1,0.301727992,61,2,0.550543024,3590.0,8,0,2,0,2.0
18410,1,0.817163753,53,2,5255.0,6670.22123739,5,0,2,1,0.0
18439,1,0.60412637,22,0,0.163047225,2900.0,4,0,0,0,3.0
18448,1,0.722846442,51,4,0.083195021,14459.0,5,1,0,2,0.0
18466,1,0.29642077,60,0,0.014440433,3600.0,4,0,0,0,0.0
18485,1,0.297345914,70,0,0.542768274,4500.0,12,0,3,0,0.0
18538,1,0.930761008,48,2,0.488993143,11083.0,18,0,2,0,1.0
18543,1,0.020732642,40,0,0.462585951,7416.0,9,0,2,0,2.0
18553,1,0.889851691,38,1,0.450670876,3800.0,8,0,2,0,1.0
18583,1,0.646846891,57,0,1.162418791,2000.0,15,0,1,0,0.0
18586,1,0.9999999,37,1,0.0,3831.0,0,1,0,0,0.0
18630,1,0.717131474,46,1,0.831763699,2335.0,5,4,1,2,3.0
18639,1,0.9999999,57,0,0.0,3501.0,0,1,0,0,0.0
18641,1,0.9334045,33,2,1.010711735,4200.0,13,6,2,2,1.0
18648,1,0.241456569,37,1,0.808063979,3000.0,12,0,1,0,2.0
18664,1,0.987432162,40,0,0.14978602,1401.0,3,0,0,0,3.0
18694,1,1.007054439,50,3,0.141472281,3300.0,4,0,0,2,3.0
18702,1,0.025491163,41,0,0.16765286,1520.0,7,0,0,0,0.0
18703,1,0.679516024,85,0,0.141182555,5800.0,6,0,0,0,0.0
18707,1,0.066886412,39,1,0.191606163,5646.0,7,0,1,0,3.0
18727,1,0.304384671,59,1,0.360048744,10667.0,19,0,2,0,0.0
18752,1,1.078334972,39,2,0.124300112,1785.0,6,1,0,0,8.0
18774,1,0.385843489,51,0,0.170408887,4230.0,9,0,1,0,0.0
18776,1,0.890246612,47,0,0.220945502,18275.0,7,0,3,0,0.0
18839,1,0.9999999,46,2,0.119628135,5700.0,2,1,0,0,0.0
18843,1,0.9999999,38,1,940.0,6670.22123739,1,0,1,0,0.0
18863,1,0.9999999,44,0,0.0,5216.0,1,7,0,0,0.0
18889,1,0.306126593,47,2,1220.0,6670.22123739,10,0,1,1,0.0
18941,1,0.960159363,49,1,0.16345036,4300.0,4,1,0,1,0.0
18973,1,0.239849079,41,1,0.860609293,15000.0,23,0,12,0,3.0
18977,1,0.450523697,50,0,0.230292294,5644.0,17,0,0,0,0.0
18984,1,0.969206159,52,4,1.821305842,3200.0,13,1,2,1,0.0
18985,1,0.677740864,35,1,0.179071317,4500.0,6,2,0,1,3.0
18987,1,0.311568843,40,3,0.740103958,2500.0,4,0,1,0,4.0
19018,1,0.9999999,48,1,0.096814233,7250.0,2,3,0,0,2.0
19021,1,1.185628743,33,2,0.111083622,4041.0,3,0,0,1,0.0
19035,1,0.487072601,50,2,0.392252378,4310.0,14,0,0,0,0.0
19074,1,0.385790482,52,0,0.749711649,2600.0,11,0,1,0,1.0
19078,1,0.016353693,73,0,0.020395921,3333.0,8,0,0,0,0.0
19091,1,1.191404298,48,2,0.707421875,5119.0,9,1,2,6,1.0
19103,1,0.346678438,30,0,0.638969118,4500.0,17,0,0,0,0.0
19120,1,0.9999999,24,0,0.0,6670.22123739,0,1,0,0,0.0
19127,1,0.9999999,21,98,0.0,1400.0,0,98,0,98,0.0
19133,1,0.854291417,80,0,0.331557923,750.0,3,0,0,0,0.0
19141,1,0.9999999,26,1,0.037495313,2666.0,2,2,0,0,2.0
19160,1,0.441831099,73,1,10359.0,6670.22123739,20,0,1,0,0.0
19169,1,0.012688913,65,1,5286.0,6670.22123739,14,0,3,0,0.0
19177,1,0.80058508,29,2,0.059542796,1880.0,4,1,0,2,0.0
19180,1,0.9999999,28,0,0.181662382,2333.0,3,3,0,0,0.0
19182,1,0.926592402,37,0,1.200587803,1360.0,5,0,0,0,2.0
19200,1,0.9999999,39,0,0.003951211,5820.0,0,1,0,0,3.0
19227,1,0.191371804,45,0,1.479320679,5004.0,18,0,2,0,1.0
19228,1,0.826643141,45,1,0.354628422,2300.0,10,1,1,0,1.0
